,lat,lng
75460000,,
74325200,,
75830000,,
75165000,,
76670000,,
76150000,,
74563330,,
75060180,-16.2982174,-48.9584722
75115720,-16.661111,-49.2867936
75230000,,
74305520,-15.464075,-47.6038225
75355000,,
74555070,-16.3673121,-48.9416048
75106595,-16.3658618,-48.9514442
75370000,,
77880000,,
74484426,-16.8009687,-49.3216073
76290000,,
76179970,-18.3985025,-49.2222985
74495580,-16.6843831,-49.3886888
75110720,-16.3317906,-48.9401464
75113630,-16.3303046,-48.9499876
74355072,,
74691363,-16.3693258,-48.9434017
75064440,-16.2833105,-48.9792437
75091360,-16.3177739,-48.9082278
